uuid,prefix,prompt
0aa8113f-ee4a-5086-a7a6-e1c6d8b245aa,t2vz-,"a elephant is walking in the forest, sunset -ar 16:9 -motion 2  "
00b62d63-510a-59e9-a694-cdf5a95ba537,ms-,Draw a detailed colorful image showing the transformation of the Ugly Duckling into a beautiful swan.  Message: SWAN (Font: MODERN)  
0a1e22f6-5863-5c21-8514-78baee8d8a92,t2vz-,"image of a sweet baby slumbering on a fluffy, cotton-like cloud high above the earth. The cloud floats in a pastel-colored sky, and the baby is cradled in a celestial embrace, surrounded by a soft, dreamy aura.  "
0aa67e3c-ebc0-5667-a772-504be8e26bcf,vc-,"a black and gold batman surrounded by three bad people, night, cinematic  "
0a4d0ce2-8b90-5409-98da-a98cc46c363e,pika-,mother nature wearing a veil in front of a cross headstone in a graveyard full of vines  
0a0d4433-3116-5e2f-81e0-b35b2ec73ba3,pika-,Grapefruit pulp cut into small pieces  
0b73d1b6-bf79-5a8f-abda-bdbc77b2e5be,ms-,New York city  
0a1fa151-ae9e-5b84-9e1b-0d0b8024ade4,t2vz-,a kid working in the garage building his own life size velociraptors robot kit modern space age trash  
0a7dd8e7-9095-558c-b1b9-543b4514f5d2,t2vz-,"Dense ancient forest, mist in the trees, sun rising, undergrowth dense, campfire in the distance, archer girl sitting by the fire, long brown hair, young face, wearing a split leather dress and trousers. Film style : thriller -neg poor quality, distortion, irregular shapes, double actor body, bright colors -gs 18 -motion 2 -camera pan left  "
0a1a0fa2-0cbd-56d9-ab7a-7ffbf21d9e2c,pika-,"full body view of a young lady with black straight hair  , looking at the camera,  "
0aabc111-e517-5681-94d5-6c8f07859895,ms-,"undead samurai fighting vampire dragons in the golden orange  sky, purple neon mountains, 11th century mongolia, bosch flemish painter negative image ultra realistic high contrast  "
0a3c36a4-ff51-5a17-a4ea-f545e1dc7f75,pika-,"a 1902 GEORGES M&#201;LI&#200;S film, Batman walking down a dark alley, --ar 9:16  "
00b7cb01-5d8b-5652-8633-4668238d52b5,vc-,"fluormotion 4 -ar 16:9 -neg &quot;morphing, erratic fluctuation in motion, noisy, poor quality, distorted, mixed body parts, inconsistant body parts&quot;  "
0a6f8c06-69b4-5336-b957-caec839509dc,t2vz-,A dimly lit room with a vintage map of an eerie forest in the background  
0a2ab830-9ab2-5d5a-9964-bbb1a7274d39,pika-,a snake chasing a rat  
00a3d5c8-6c40-5881-8dc8-0ac9eed62b9e,pika-,"realestate photographer working, kitchen, sunny day, kids  "
0a3a92fa-003b-5c8f-a518-592e5c6eb970,pika-,: 5g in mining industry  
0a3eef13-d33a-581c-8a3d-4c09f7df02df,vc-,IMAGEN DE BUDA CON DISE&#209;O DE FLORES Y JAPA MALA  
0a40da8e-60ef-50be-8df3-d9423f2dab6c,t2vz-,"beautiful baleen whale flying in space, radiant colours,  masterpiece composition, artistic, complex dimensions, sacred geometry, hyper realistic, photorealistic  "
0a850633-e1d4-5c2e-815e-d0f316d91c21,t2vz-,travel  
0a0f5a43-f8ba-5afa-8210-5d32e7cca1d0,pika-,demons and a vampire in the city  
00a0b76e-5de7-5684-b4b4-154ab7004dd4,vc-,"war a badar with horse, islamic, 300 people islamic vs 1000 enemies  "
0ba5665d-0237-54c1-95f6-f0af73fe49af,ms-,dog licking a hand under the bed  
0a8a1bed-6ecf-5101-bfb8-d78707a1d2fe,ms-,"surreal background, psychedelic effects, pink and yellow, sunshine, sun rays  "
0a167914-601e-5c85-a5c8-a2e1a5f1f60b,vc-,"Usagi Yojimbo slashing through a bamboo forest with his katana, anime—style raw  "
0aa40b3d-f997-5c3d-aa4b-54c69f2546d3,vc-,house fat and lumpy that looks like italian pasticciotto  
0ae90d67-d6b2-54e0-a8ad-06ef9adcc2ff,ms-,"white Queen,  holding minigun, smashing black horse, the qeen flies with jet-pack  "
0a2b931b-c4f7-540a-a66d-c9ddf87e2bd5,pika-,"hopeless old man fighting with a big cat at night, horrifying scene, show full cat body and full human in fight, cinematic lighting, ultra realistic video, ultra realistic lighting, low depth of field -gs 17 -motion 3 -camera zoom in -neg morphing -neg extra limbs -neg extra legs -neg poorly drawn -neg bad quality -neg erratic fluctuation in motion -neg low resolution -neg oversaturated -neg lack of detail -neg inconsistent lighting  "
0a3f96b6-a531-5ab3-88cc-4a2ced9bb610,pika-,sky full of people floating up into the air like the rapture  
0a233594-f0a6-5a08-9771-47599b91fcdc,t2vz-,"a old red locomotive that is smoking, from left to right, sc-fi, futuristic landscape, A breathtaking aerial view of a sprawling futuristic cityscape, with towering skyscrapers piercing the sky, sleek hovercars zooming through futuristic highways, and vibrant holographic billboards illuminating the streets below. Octane render, Unreal Engine, by Weta Digital, Cinematic, Photography, DSLR, Nikon D750, Short Exposure, F/2.8, Cool Color Palette, Kodachrome, 32k, Ultra-HD, Super-Resolution, HDR, DCI-P3, Natural Lighting, Flare, Cinematic Lighting, Contre-Jour, Beautiful Lighting, Ray Tracing Global Illumination, Ray Tracing Reflections, Ray Tracing Ambient Occlusion, RTX, CGI, VFX: insanely detailed and intricate, hypermaximalist, elegant, ornate, hyper realistic, super detailed,ar 16:9  "
0a29411c-1614-5d70-ab19-da6c0c1cf3c8,t2vz-,"Woman with cinnamon colored curly hair and deep brown skin, walks forward on cobblestone path, between a row of ficus trees. Her white dress is blowing in the wind. - camera pan right  "
0a62877f-3b0f-5159-abab-10fbfadca570,t2vz-,an immense magnificent bridge with cars driving on it  
0af2d506-017e-5c07-af98-9d8658dc854c,vc-,realistic 4k 80s nice girl flirting at camera -ar 9:16 cute colors  
0b4c93a3-4d43-5cb7-a5c5-e9b5a0aceecc,ms-,"a cinematic shot of a pirate man on a pirate ship with the crew,a pirate ship arriving at a port as background, hyperrealist, stormy weather, stormy seas, fujifilm camera  "
0a662f09-4db4-51ca-8540-10eb6bcde83c,t2vz-,"futuristic city with ufos firing laser beams everywhere, destroying buildings and people  "
0a4cb658-2708-5ea8-9821-4c73ef2fb5fb,pika-,UFO real flying  
0a4d09aa-1ebc-5daf-be0c-fb72abf64a2c,pika-,"Sculpture, renowned artist, glass, rotation, sparkle, water, sunlight, shattering, Saipan beach.  "
0a3dbd56-83c4-5d1a-895b-28b4faf83972,pika-,"A hybrid creature with the body of a dinosaur and the wings of a pterosaur, soaring elegantly through the clouds  "
00a9c249-d00c-52ec-95f3-d27297b6ea95,ms-,"a woman with long brown hair whom is wearing a light brown Jacket and black pants, emerges from a magical glass portal onto an alien world full of alien creatures and technology -hide  "
0a7faf86-f884-52f1-a177-de5ef4a30450,t2vz-,"Capture a stunningly realistic and high-quality close-up photograph of an incredibly delicious hamburger. The burger should be the focal point of the image, with every intricate detail visible, from the perfectly seared patty to the glistening, golden brioche bun. The cheese, melting slightly, should be captured in a state of mouthwatering perfection, and the fresh, vibrant lettuce and juicy, ripe tomato slices should exude an inviting freshness.  Employ a cinematic lighting style to enhance the visual appeal of the burger. Create dramatic shadows that accentuate the textures and contours of the ingredients, and use warm, golden tones to cast a seductive, appetizing glow over the scene. The play of light and shadow should evoke a sense of anticipation and indulgence.  The image should be so lifelike that the viewer can almost smell the sizzling beef and the aromatic spices. Use your photographic skills to make this hamburger an irresistible work of art, one that not only looks incredibly tempting but also tells a story of culinary craftsmanship and taste bud delight  Message: LOLO (Font: RETRO)  "
0b61a9f5-d75a-59a2-b37b-76ffa32ad98b,vc-,"A realistic photograph of Nacho Libre in Mexican Wrestling ring in wrestling attire in tiny venue filled with fans, Musclebound, Looking straight, house lighting, low light, ultra detailed, photo realistic, 16K, award winning photograph  "
0a5a8d29-ae10-5634-9b21-89d2e08fa4a3,pika-,drangen girl  
0abf1bfb-7300-5912-886a-b7b785cb7712,t2vz-,"high quality, 8K Ultra HD, masterpiece, masterpiece,She was wearing a loose sweater and her hair fell gently on her shoulders. Her side face is facing the window, her expression appears melancholy and thoughtful, there may be tears or confusion in her eyes. There was a melancholic atmosphere in the room, and it was raining outside the window.  "
0b98d8d5-4fef-5a8e-a7ca-389458c60bc6,ms-,a relaxing scenery of beach view under cloudy sky -seed 6706212  
0bcd9e3c-ca35-546c-98fe-cd770d9ad90c,ms-,senhora e seu filho com uma cesta contendo cinco p&#227;es e dois peixes.&quot;  
0b0cd136-380a-5fe5-9100-fbd00af34046,ms-,"&quot;Craft a spellbinding visual narrative that captures the essence of &#39;magic.&#39; Use high-definition video to showcase moments of transformation, wonder, and the extraordinary. Whether it&#39;s a magician&#39;s sleight of hand, the enchantment of a special moment, or the awe-inspiring beauty of nature, let the visuals transport viewers into a world where anything is possible. Make the impossible seem possible with your stunning video.&quot;  "
0a8eb437-96c6-5cce-ac0f-90b0e0e741af,vc-,"animated, lots of candy, more than alot  "
0bbeb86e-f098-5a0a-8b24-b5c3abc66757,ms-,"Raymond Lal saw that Egypt was the fulcrum and center of the entire Islamic world, and from here was the preparation to organize a crusade to the north of Egypt. Africa, and before that he launched a systematic attack on Muslim property in Spain, which made him the primary instigator of this campaign. He also used the navy in the Crusade to serve it, and launched the idea of a trade war against Muslim countries, to give the hundred sea power. A banner for the Arabs that dates back to the era of Caliph Muawiyah bin Abi Sufyan, in addition to the forces participating in the campaign, and how to organize the Crusades and lead them. Under the name of the warrior king and the provision of order. Obedience and justice in the Crusader camp. He also financed the campaign and the efforts he made to achieve what he planned.  "
0a284f4b-d523-5937-aaac-c726395a2edc,ms-,muppets exploring cave system  
0b01ab5b-8865-5e3b-975e-33a8b8f2bc81,vc-,"Sketch sketch sketch color!!! A close up the wizard Merlin. Forest background. Black line art with color. From Pathfinder, an the merlin, striking art style, colored sketch, frightening appearance, inspired by Vilhelm Lundstr&#248;m, from mythology historical (2021), barrels, The demonology)), frightening, 1 petapixel image.,(best quality, sketch art,),sketch art  "
0aa36b16-bbf4-5c73-8b72-8a5e3cfa0b91,ms-,asian tv host drinking a jellybean soft drink on television  
0a4b5884-9e75-57f5-b13d-2eafdd075f11,pika-,"View fron inside brain Illuminates in yellow the different areas of the frontal lobe, amygdala and hippocampus.  "
0a0da7f6-32d1-56d5-ba90-a0e56d7124f3,pika-,in text of old painting  Message: bua mareo na please (Font: MODERN)  
00a3a36f-17f9-568a-ad55-a49ed055c408,pika-,"1980&#39;s sitcom silver spoons, breakdance scene , crazy legs just got way too crazy, faces massive jagged teeth, carlton from fresh prince of bell air, in the background is ronald McDonald a giant weird looking puppet and a creepy alligator man  "
0aae1836-575e-5cb3-b3eb-54fe52929818,ms-,"large gorilla sitting in the forest with a cup of tea and a cake in his hands. cinematic, with movement.  "
